Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE,c2 ± SE
2019-05a,107,89,-4.552,25.420,0.0195,0.0354,0.0396,0.741 ± 0.017,0.586 ± 0.202,-0.719 ± 0.007,-8.7e-05 ± 4.5e-05
2019-05b,36,18,-4.552,25.416,0.0324,0.0514,0.0498,0.793 ± 0.029,-0.550 ± 0.356,-0.724 ± 0.011,-3.3e-05 ± 2.7e-04
2019-06a,79,19,-4.558,25.429,0.0138,0.0397,0.0375,0.787 ± 0.020,0.133 ± 0.232,-0.748 ± 0.008,-6.2e-05 ± 1.1e-04
2019-06b,61,10,-4.549,25.442,0.0135,0.0281,0.0320,0.731 ± 0.023,0.186 ± 0.249,-0.732 ± 0.009,-7.5e-05 ± 1.8e-04
2019-06c,79,24,-4.554,25.430,0.0235,0.0486,0.0393,0.746 ± 0.020,0.114 ± 0.219,-0.742 ± 0.008,-1.3e-04 ± 1.0e-04
2019-06d,56,24,-4.553,25.420,0.0218,0.0492,0.0426,0.759 ± 0.023,0.263 ± 0.252,-0.751 ± 0.009,-3.5e-04 ± 1.5e-04
2019-07,44,15,-4.566,25.428,0.0321,0.0411,0.0395,0.800 ± 0.026,-0.391 ± 0.276,-0.764 ± 0.011,-4.1e-04 ± 2.4e-04
2019-10a,7,5,-4.781,24.932,0.6249,0.8216,0.0000,0.666 ± 0.073,-0.244 ± 0.711,-0.749 ± 0.031,1.7e-03 ± 2.8e-03
2019-10b,113,40,-4.499,25.587,0.1594,0.3805,0.0390,0.788 ± 0.017,-0.121 ± 0.179,-0.778 ± 0.007,-2.0e-04 ± 5.6e-05
2019-10c,60,10,-4.532,25.494,0.0351,0.0515,0.0373,0.809 ± 0.023,-0.189 ± 0.241,-0.792 ± 0.009,3.8e-04 ± 1.8e-04
2019-11a,16,10,-4.517,25.545,0.0425,0.0792,0.0434,0.728 ± 0.045,-0.163 ± 0.382,-0.754 ± 0.018,1.1e-05 ± 8.2e-04
2019-11b,6,2,-4.469,25.612,0.0730,0.1188,0.0000,0.636 ± 0.114,0.856 ± 1.385,-0.667 ± 0.055,-6.4e-03 ± 5.3e-03
2019-12a,81,86,-4.531,25.484,0.0179,0.0378,0.0465,0.802 ± 0.019,0.383 ± 0.228,-0.764 ± 0.007,2.4e-04 ± 4.9e-05
2019-12b,38,14,-4.538,25.483,0.0148,0.0310,0.0469,0.826 ± 0.028,-0.312 ± 0.321,-0.782 ± 0.010,8.3e-05 ± 3.1e-04